Date,GLD_Open,GLD_High,GLD_Low,GLD_Close,GLD_Volume,GLD_Return,VOT_Open,VOT_High,VOT_Low,VOT_Close,VOT_Volume,VOT_Return
2006-08-25,61.88,62.0,61.58,61.77,2127000.0,-0.0017776341305752,36.2161,36.2961,36.2161,36.2961,3400.0,0.0022089623123418
2006-08-28,61.8,61.8,60.83,61.0,3584600.0,-0.0129449838187701,36.1761,36.5161,36.1761,36.5161,200.0,0.0093984702607523
2006-08-29,61.0,61.09,60.32,60.94,3609800.0,-0.000983606557377,36.3061,36.3061,36.2661,36.2661,11700.0,-0.0011017432332307
2006-08-30,61.49,61.66,61.09,61.42,2901600.0,-0.0011383964872337,36.8661,36.9161,36.8661,36.9161,3900.0,0.0013562595446764
2006-08-31,62.0,62.3,61.73,62.29,4842300.0,0.0046774193548386,36.9261,37.0261,36.8861,37.0061,7100.0,0.0021664892853565
2006-09-01,61.95,62.29,61.48,62.14,3210200.0,0.0030669895076674,37.2161,37.4361,37.2161,37.4361,500.0,0.0059114200574484
2006-09-05,63.2,63.63,63.06,63.36,4219400.0,0.0025316455696201,37.3661,37.5161,37.3661,37.4961,1700.0,0.0034790893349853
2006-09-06,63.22,63.52,62.83,62.86,3210900.0,-0.0056944005061689,37.2861,37.2861,36.8861,36.8861,1100.0,-0.0107278583708137
2006-09-07,61.87,61.92,60.99,61.25,5402300.0,-0.0100210117989332,36.6361,36.6361,36.3461,36.4061,900.0,-0.0062779608091471
2006-09-08,60.52,60.77,60.28,60.64,3693400.0,0.0019828155981493,36.5161,36.5161,36.3161,36.3161,9800.0,-0.0054770361566542
2006-09-11,58.85,59.25,57.91,58.5,10580700.0,-0.005947323704333,36.0661,36.4661,36.0661,36.4661,1300.0,0.0110907472668239
2006-09-12,58.65,59.09,58.18,58.32,5836200.0,-0.0056265984654731,36.6661,37.2661,36.6661,37.2661,2300.0,0.0163638892601067
2006-09-13,58.6,58.93,57.97,58.62,3539100.0,0.0003412969283275,37.4661,37.7761,37.3461,37.7761,1200.0,0.0082741464950982
2006-09-14,58.59,58.72,57.08,57.19,7637700.0,-0.0238948626045401,37.6261,37.6261,37.5861,37.5861,400.0,-0.001063091843162
2006-09-15,57.2,57.79,56.66,57.4,6454800.0,0.0034965034965034,37.8461,37.8461,37.6061,37.6061,1000.0,-0.0063414724370543
2006-09-18,57.47,58.39,57.42,58.23,4438700.0,0.0132242909344005,37.7961,38.2861,37.6661,37.7661,35500.0,-0.0007937326867058
2006-09-19,58.02,58.11,56.84,56.92,5287000.0,-0.0189589796621854,38.5761,38.5761,37.2361,37.2361,2100.0,-0.0347365337605407
