Date,GLD_Open,GLD_High,GLD_Low,GLD_Close,GLD_Volume,GLD_Return,VOT_Open,VOT_High,VOT_Low,VOT_Close,VOT_Volume,VOT_Return,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,AAPL_Return,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,MSFT_Return
2007-03-19,64.880000,64.940000,64.630000,64.740000,2990500.000000,-0.002158,42.506100,42.796100,42.376100,42.676100,6300.000000,0.003999,-6.715700,-6.668900,-6.738900,-6.683900,25471457.000000,-0.004735,-1.380000,-0.890000,-1.520000,-0.890000,49416000.000000,-0.355072
2007-03-20,64.930000,65.540000,64.930000,65.270000,4416300.000000,0.005236,42.856100,43.026100,42.726100,42.976100,7900.000000,0.002800,-6.676000,-6.658500,-6.686400,-6.671400,17474064.000000,-0.000689,-0.790000,-0.560000,-0.960000,-0.880000,47924000.000000,0.113924
2007-03-21,65.540000,65.900000,65.120000,65.820000,5059000.000000,0.004272,43.226100,44.126100,43.106100,43.976100,13600.000000,0.017351,-6.653200,-6.581400,-6.665300,-6.586000,24551703.000000,-0.010100,-0.830000,-0.200000,-1.160000,-0.200000,75796000.000000,-0.759036
2007-03-22,65.780000,66.130000,65.600000,65.760000,4719700.000000,-0.000304,44.216100,44.216100,43.926100,44.106100,29800.000000,-0.002488,-6.591000,-6.568500,-6.617100,-6.582800,20188862.000000,-0.001244,-0.200000,-0.170000,-0.710000,-0.450000,49515000.000000,1.250000
2007-03-23,65.790000,65.900000,64.900000,65.150000,5593000.000000,-0.009728,44.426100,44.426100,44.186100,44.336100,12200.000000,-0.002026,-6.604600,-6.578900,-6.606400,-6.598500,16119797.000000,-0.000924,-0.500000,-0.450000,-0.920000,-0.700000,50528000.000000,0.400000
2007-03-26,65.360000,65.970000,65.360000,65.840000,3928800.000000,0.007344,44.486100,44.486100,43.736100,44.196100,19500.000000,-0.006519,-6.581700,-6.513500,-6.606400,-6.515300,30916304.000000,-0.010089,-0.780000,-0.500000,-1.020000,-0.500000,47492000.000000,-0.358974
2007-03-27,65.880000,65.970000,65.500000,65.700000,3261700.000000,-0.002732,43.966100,43.996100,43.826100,43.996100,20900.000000,0.000682,-6.520300,-6.480300,-6.545700,-6.529200,33310415.000000,0.001365,-0.680000,-0.560000,-1.070000,-1.000000,58982000.000000,0.470588
2007-03-28,66.140000,66.480000,65.770000,66.050000,6310000.000000,-0.001361,43.666100,43.666100,43.316100,43.426100,13600.000000,-0.005496,-6.549900,-6.531400,-6.611700,-6.608500,33906998.000000,0.008947,-1.140000,-0.720000,-1.320000,-1.080000,49031000.000000,-0.052632
2007-03-29,65.970000,66.000000,64.930000,65.650000,5448300.000000,-0.004851,43.836100,43.836100,43.156100,43.446100,8000.000000,-0.008897,-6.574600,-6.574600,-6.644600,-6.590300,25928348.000000,0.002388,-0.880000,-0.880000,-1.230000,-0.970000,42631000.000000,0.102273
2007-03-30,65.740000,66.210000,65.490000,65.740000,4290200.000000,0.000000,43.636100,43.776100,43.236100,43.396100,13100.000000,-0.005500,-6.571400,-6.557100,-6.626000,-6.620300,21460993.000000,0.007441,-0.970000,-0.770000,-1.220000,-0.850000,47066000.000000,-0.123711
2007-04-02,65.740000,66.140000,65.030000,65.850000,5378100.000000,0.001673,43.616100,43.796100,43.436100,43.796100,4700.000000,0.004127,-6.576400,-6.572400,-6.616400,-6.593900,17936060.000000,0.002661,-0.830000,-0.790000,-1.160000,-0.980000,41978000.000000,0.180723
2007-04-03,65.670000,66.220000,65.650000,65.830000,4141700.000000,0.002436,44.086100,44.316100,44.036100,44.296100,3400.000000,0.004763,-6.576400,-6.537400,-6.589900,-6.563500,20870473.000000,-0.001962,-0.860000,-0.660000,-0.970000,-0.850000,42651000.000000,-0.011628
2007-04-04,66.090000,66.980000,66.000000,66.810000,7126100.000000,0.010894,44.306100,44.406100,44.146100,44.406100,15700.000000,0.002257,-6.547800,-6.540700,-6.576700,-6.571700,17039354.000000,0.003650,-0.710000,0.060000,-0.820000,-0.220000,63259000.000000,-0.690141
2007-04-05,66.700000,66.960000,66.590000,66.860000,3592700.000000,0.002399,44.426100,44.676100,44.376100,44.666100,26200.000000,0.005402,-6.577100,-6.557100,-6.598500,-6.557100,12705136.000000,-0.003041,-0.400000,-0.070000,-0.420000,-0.170000,30197000.000000,-0.575000
2007-04-09,66.880000,67.200000,66.460000,66.530000,3297300.000000,-0.005233,44.886100,44.896100,44.616100,44.746100,15200.000000,-0.003119,-6.538200,-6.534900,-6.615700,-6.593900,14772985.000000,0.008519,-0.150000,0.000000,-0.330000,-0.150000,31389000.000000,-0.000000
2007-04-10,67.160000,67.550000,66.980000,67.160000,2741900.000000,0.000000,44.666100,44.916100,44.666100,44.886100,6200.000000,0.004925,-6.593200,-6.572400,-6.602400,-6.572400,12598044.000000,-0.003155,-0.220000,-0.080000,-0.500000,-0.320000,38645000.000000,0.454545
2007-04-11,67.260000,67.500000,66.810000,67.080000,4357100.000000,-0.002676,44.966100,44.966100,44.406100,44.486100,11000.000000,-0.010675,-6.584900,-6.583200,-6.641000,-6.631700,19633372.000000,0.007107,-0.420000,-0.150000,-0.730000,-0.610000,44367000.000000,0.452381
2007-04-12,67.060000,67.250000,66.480000,66.990000,6021900.000000,-0.001044,44.386100,45.086100,44.386100,45.086100,7800.000000,0.015771,-6.651400,-6.641700,-6.698500,-6.646000,23711969.000000,-0.000812,-0.660000,-0.100000,-0.680000,-0.180000,43775000.000000,-0.727273
2007-04-13,67.490000,67.970000,67.190000,67.840000,5062700.000000,0.005186,45.216100,45.236100,44.866100,45.206100,10000.000000,-0.000221,-6.692100,-6.674200,-6.722100,-6.715700,25722969.000000,0.003527,-0.290000,-0.020000,-0.620000,-0.110000,36005000.000000,-0.620690
2007-04-16,68.140000,68.500000,67.680000,68.400000,7912300.000000,0.003816,45.556100,45.726100,45.426100,45.676100,6200.000000,0.002634,-6.703900,-6.670700,-6.715300,-6.673200,21764792.000000,-0.004579,-0.120000,0.030000,-0.510000,0.010000,30743000.000000,-1.083333
2007-04-17,68.310000,68.480000,67.980000,68.000000,4159000.000000,-0.004538,45.866100,45.886100,45.576100,45.716100,30200.000000,-0.003270,-6.652800,-6.642100,-6.734900,-6.711700,26870049.000000,0.008853,-0.090000,0.170000,-0.160000,0.130000,33170000.000000,-2.444444
2007-04-18,68.100000,68.450000,67.950000,68.380000,4933500.000000,0.004112,45.666100,45.786100,45.376100,45.706100,3500.000000,0.000876,-6.718500,-6.693900,-6.738500,-6.709900,16585134.000000,-0.001280,-0.110000,-0.050000,-0.360000,-0.120000,41779000.000000,0.090909
2007-04-19,68.000000,68.040000,67.250000,67.530000,5344600.000000,-0.006912,45.256100,45.596100,45.106100,45.426100,6500.000000,0.003756,-6.717400,-6.679600,-6.730300,-6.714600,15230508.000000,-0.000417,-0.380000,0.170000,-0.460000,-0.030000,44834000.000000,-0.921053
2007-04-20,68.580000,68.730000,68.350000,68.700000,3358100.000000,0.001750,46.196100,46.196100,45.736100,45.836100,7000.000000,-0.007793,-6.692400,-6.682100,-6.704600,-6.689600,18770432.000000,-0.000418,0.260000,0.380000,-0.020000,0.300000,61626000.000000,0.153846
2007-04-23,68.410000,68.650000,68.040000,68.260000,2487500.000000,-0.002193,46.016100,46.316100,46.016100,46.236100,25400.000000,0.004781,-6.667800,-6.588500,-6.673500,-6.598900,27903253.000000,-0.010333,0.240000,0.270000,-0.050000,0.060000,41993000.000000,-0.750000
2007-04-24,68.450000,68.500000,67.430000,67.730000,5073700.000000,-0.010519,46.446100,46.446100,45.966100,46.236100,11300.000000,-0.004521,-6.582800,-6.496000,-6.677800,-6.608500,37729878.000000,0.003904,0.070000,0.240000,-0.130000,0.070000,34245000.000000,0.000000
2007-04-25,67.850000,68.060000,67.660000,67.890000,2614100.000000,0.000590,46.716100,46.886100,46.186100,46.766100,12000.000000,0.001070,-6.573200,-6.531400,-6.588500,-6.533500,43744704.000000,-0.006040,0.140000,0.280000,-0.030000,0.270000,39492000.000000,0.928571
2007-04-26,67.430000,67.430000,66.500000,66.870000,4668000.000000,-0.008305,46.906100,46.976100,46.586100,46.886100,22200.000000,-0.000426,-6.309900,-6.277800,-6.427800,-6.408500,62153471.000000,0.015626,0.370000,0.630000,0.190000,0.380000,69999000.000000,0.027027
